"VarName","TimeString","VarValue","Validity","Time_ms","Checksum"
"C6_ME02_FX01_VALUE","17/Nov/2023 09:08:50",-0.2893519,1,45247381132.1875,DyMGCb
"C6_ME02_FX02_VALUE","17/Nov/2023 09:08:50",5.425347E-03,1,45247381132.1875,gtPjsP
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:08:50",0,1,45247381132.1875,5dQCL6
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:08:50",0,1,45247381132.1875,5tD4SJ
"C6_ME02_FX01_VALUE","17/Nov/2023 09:08:52",-0.2893519,1,45247381155.4745,k5sqps
"C6_ME02_FX02_VALUE","17/Nov/2023 09:08:52",5.425347E-03,1,45247381155.4745,GK17wn
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:08:52",0,1,45247381155.4745,+ZNC/J
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:08:52",0,1,45247381155.4745,8m6RTi
"C6_ME02_FX01_VALUE","17/Nov/2023 09:08:54",-0.2893519,1,45247381178.7616,hsKZ7g
"C6_ME02_FX02_VALUE","17/Nov/2023 09:08:54",5.425347E-03,1,45247381178.7731,frE37U
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:08:54",0,1,45247381178.7731,197Z4H
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:08:54",0,1,45247381178.7731,ffCMwz
"C6_ME02_FX01_VALUE","17/Nov/2023 09:08:56",-0.8680556,1,45247381202.037,4d/NIE
"C6_ME02_FX02_VALUE","17/Nov/2023 09:08:56",5.425347E-03,1,45247381202.037,IovERW
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:08:56",0,1,45247381202.037,znlSVs
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:08:56",0,1,45247381202.037,BIHVaA
"C6_ME02_FX01_VALUE","17/Nov/2023 09:08:58",-0.2893519,1,45247381225.2893,zQ3oeO
"C6_ME02_FX02_VALUE","17/Nov/2023 09:08:58",5.425347E-03,1,45247381225.2893,mND70p
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:08:58",0,1,45247381225.2893,Nz8qrH
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:08:58",0,1,45247381225.2893,e/wxkb
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:00",-0.8680556,1,45247381248.588,kRUdco
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:00",5.425347E-03,1,45247381248.588,U13OSG
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:00",0,1,45247381248.588,Zr3FhA
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:00",0,1,45247381248.588,coeHi0
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:02",-0.2893519,1,45247381271.8403,Iockyi
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:02",5.425347E-03,1,45247381271.8403,j3wdxZ
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:02",0,1,45247381271.8403,+Spmcl
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:02",0,1,45247381271.8403,aEzK7A
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:04",-0.8680556,1,45247381295.1273,VLJzF8
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:04",5.425347E-03,1,45247381295.1273,fFLAQj
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:04",0,1,45247381295.1273,ehUndd
