"VarName","TimeString","VarValue","Validity","Time_ms","Checksum"
"C6_ME02_LT01_VALUE","17/Nov/2023 09:08:50",1.344763,1,45247381132.1875,A74TTa
"C6_ME02_AX02_VALUE","17/Nov/2023 09:08:50",14.18981,1,45247381132.1875,9OXUnF
"C6_ME02_LT01_VALUE","17/Nov/2023 09:08:52",1.35272,1,45247381155.4745,prm13U
"C6_ME02_AX02_VALUE","17/Nov/2023 09:08:52",14.18113,1,45247381155.4745,BWfdk5
"C6_ME02_LT01_VALUE","17/Nov/2023 09:08:54",1.344763,1,45247381178.7731,JLdRGg
"C6_ME02_AX02_VALUE","17/Nov/2023 09:08:54",14.18692,1,45247381178.7731,swb98n
"C6_ME02_LT01_VALUE","17/Nov/2023 09:08:56",1.35272,1,45247381202.037,Dxp6Ie
"C6_ME02_AX02_VALUE","17/Nov/2023 09:08:56",14.18113,1,45247381202.037,KUgLyT
"C6_ME02_LT01_VALUE","17/Nov/2023 09:08:58",1.328848,1,45247381225.2893,RXjEdf
"C6_ME02_AX02_VALUE","17/Nov/2023 09:08:58",14.17824,1,45247381225.2893,KpnuyF
"Sequence_Status","17/Nov/2023 09:08:58",1,1,45247381228.1366,fSyNbM
"BatchData_Phase_Step_Current","17/Nov/2023 09:08:58",2,1,45247381228.1366,nEfWg1
"SystemData_SeqNumber","17/Nov/2023 09:08:58",1,1,45247381228.1366,yHZa/y
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:00",1.328848,1,45247381248.588,jh/JVx
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:00",14.17824,1,45247381248.588,rinsEU
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:02",1.35272,1,45247381271.8403,Rwz/pJ
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:02",14.18113,1,45247381271.8403,9dZwkB
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:04",1.328848,1,45247381295.1273,zJX1OI
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:04",14.17824,1,45247381295.1273,xWxHh0
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:06",1.35272,1,45247381318.4028,c8XVSh
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:06",14.17824,1,45247381318.4028,xVx4Cp
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:08",1.35272,1,45247381341.6551,Df8nrB
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:08",14.17824,1,45247381341.6551,DemrHK
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:10",1.344763,1,45247381364.9306,XeYJtR
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:10",14.17824,1,45247381364.9306,7i3ViJ
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:12",1.344763,1,45247381388.1944,nB9CJy
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:12",14.17824,1,45247381388.1944,JUoV57
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:14",1.35272,1,45247381411.4699,ULYO2X
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:14",14.17824,1,45247381411.4699,ZXHaUF
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:16",1.344763,1,45247381434.7454,FczIYw
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:16",14.18113,1,45247381434.7454,o39hFY
"BatchData_Phase_Step_Current","17/Nov/2023 09:09:16",3,1,45247381436.4583,IfGj5W
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:18",1.328848,1,45247381458.044,cSZY9C
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:18",14.17824,1,45247381458.044,fgUVNC
"BatchData_Phase_Step_Current","17/Nov/2023 09:09:18",1,1,45247381459.6065,U0Rja9
