"VarName","TimeString","VarValue","Validity","Time_ms","Checksum"
"C6_ME02_PX01_VALUE","17/Nov/2023 09:08:50",1.085069E-03,1,45247381132.1875,Mmtru0
"C6_ME02_PX02_VALUE","17/Nov/2023 09:08:50",5.859375E-03,1,45247381132.1875,JWwd4G
"C6_ME02_PX01_VALUE","17/Nov/2023 09:08:52",8.680556E-04,1,45247381155.4745,zyXTIC
"C6_ME02_PX02_VALUE","17/Nov/2023 09:08:52",6.293416E-03,1,45247381155.4745,9nIVLC
"C6_ME02_PX01_VALUE","17/Nov/2023 09:08:54",1.085069E-03,1,45247381178.7616,pkuY3q
"C6_ME02_PX02_VALUE","17/Nov/2023 09:08:54",5.859375E-03,1,45247381178.7616,DYzpb1
"C6_ME02_PX01_VALUE","17/Nov/2023 09:08:56",8.680556E-04,1,45247381202.037,InRW7x
"C6_ME02_PX02_VALUE","17/Nov/2023 09:08:56",5.859375E-03,1,45247381202.037,tsZNFD
"C6_ME02_PX01_VALUE","17/Nov/2023 09:08:58",1.085069E-03,1,45247381225.2893,i0RI4R
"C6_ME02_PX02_VALUE","17/Nov/2023 09:08:58",5.859375E-03,1,45247381225.2893,Olsqfg
"C6_ME02_PX01_VALUE","17/Nov/2023 09:09:00",1.085069E-03,1,45247381248.588,LPM86r
"C6_ME02_PX02_VALUE","17/Nov/2023 09:09:00",5.859375E-03,1,45247381248.588,W4UQ5n
"C6_ME02_PX01_VALUE","17/Nov/2023 09:09:02",1.085069E-03,1,45247381271.8403,78eb92
"C6_ME02_PX02_VALUE","17/Nov/2023 09:09:02",5.859375E-03,1,45247381271.8403,EIcAgT
"C6_ME02_PX01_VALUE","17/Nov/2023 09:09:04",1.085069E-03,1,45247381295.1273,llXUgt
"C6_ME02_PX02_VALUE","17/Nov/2023 09:09:04",5.859375E-03,1,45247381295.1273,+PoM1P
"C6_ME02_PX01_VALUE","17/Nov/2023 09:09:06",1.085069E-03,1,45247381318.4028,zcjHjn
"C6_ME02_PX02_VALUE","17/Nov/2023 09:09:06",5.859375E-03,1,45247381318.4028,ZP6UF4
"C6_ME02_PX01_VALUE","17/Nov/2023 09:09:08",1.085069E-03,1,45247381341.6551,y8gRGv
"C6_ME02_PX02_VALUE","17/Nov/2023 09:09:08",5.859375E-03,1,45247381341.6551,OavBZi
"C6_ME02_PX01_VALUE","17/Nov/2023 09:09:10",1.085069E-03,1,45247381364.9306,k2XVnj
"C6_ME02_PX02_VALUE","17/Nov/2023 09:09:10",6.293416E-03,1,45247381364.9306,dia0E8
